Name,Country,Sales,Profit,Assets,Market Value
JPMorganChase,United States,252900000000.0,50000000000.0,4090700000000.0,588100000000.0
Berkshire Hathaway,United States,369000000000.0,73400000000.0,1070000000000.0,899100000000.0
Saudi Arabian Oil Company (Saudi Aramco),Saudi Arabia,489100000000.0,116900000000.0,661500000000.0,1919300000000.0
ICBC,China,223800000000.0,50400000000.0,6586000000000.0,215200000000.0
Bank of America,United States,183300000000.0,25000000000.0,3273800000000.0,307300000000.0
Amazon,United States,590700000000.0,37700000000.0,531000000000.0,1922100000000.0
China Construction Bank,China,199800000000.0,47000000000.0,5403800000000.0,187500000000.0
Microsoft,United States,236600000000.0,86200000000.0,484300000000.0,3123100000000.0
Agricultural Bank of China,China,193500000000.0,37400000000.0,5832900000000.0,170900000000.0
Alphabet,United States,317900000000.0,82400000000.0,407400000000.0,2177699999999.9998
Toyota Motor,Japan,311900000000.0,34200000000.000004,595400000000.0,274900000000.0
Apple,United States,381600000000.0,100400000000.0,337400000000.0,2911500000000.0
Bank of China,China,173300000000.0,32100000000.0,4657100000000.0,145700000000.0
ExxonMobil,United States,331900000000.0,32799999999.999996,377900000000.0,536700000000.00006
HSBC Holdings,United Kingdom,144900000000.0,22200000000.0,3000500000000.0,166400000000.0
Wells Fargo,United States,120100000000.0,18800000000.0,1959200000000.0,212900000000.0
Shell Plc,United Kingdom,289700000000.0,17900000000.0,402000000000.0,228500000000.0
PetroChina,China,399100000000.0,22700000000.0,388100000000.0,177600000000.0
UnitedHealth Group,United States,379500000000.0,15400000000.0,284200000000.0,482900000000.0
Walmart,United States,657300000000.0,18900000000.0,254100000000.0,521100000000.0
Samsung Electronics,South Korea,202400000000.0,14900000000.0,349800000000.0,388000000000.0
Chevron,United States,195000000000.0,20300000000.0,261700000000.0,299800000000.0
Goldman Sachs Group,United States,116700000000.0,9400000000.0,1698400000000.0,150800000000.0
Meta Platforms,United States,142700000000.0,45800000000.0,222800000000.0,1197000000000.0
TotalEnergies,France,212600000000.0,21500000000.0,283100000000.0,171200000000.0
Morgan Stanley,United States,99800000000.0,9500000000.0,1228500000000.0,162900000000.0
RBC,Canada,90100000000.0,11300000000.0,1477800000000.0,150400000000.0
Citigroup,United States,163900000000.0,7800000000.0,2432500000000.0,122200000000.0
Ping An Insurance Group,China,136100000000.0,11800000000.0,1654800000000.0,105500000000.0
China Mobile,Hong Kong,142700000000.0,18700000000.0,281000000000.0,204100000000.0
Allianz,Germany,148200000000.0,9700000000.0,1056800000000.0,113800000000.0
BNP Paribas,France,157600000000.0,11100000000.0,2862700000000.0,88900000000.0
Verizon Communications,United States,134000000000.0,11300000000.0,380200000000.0,168600000000.0
China Merchants Bank,China,70600000000.0,20300000000.0,1594000000000.0,127400000000.0
UBS,Switzerland,81300000000.0,28900000000.0,1607100000000.0,97400000000.0
Santander,Spain,142800000000.0,12300000000.0,1944000000000.0,82100000000.0
AT&T,United States,122300000000.0,13600000000.0,399400000000.0,124800000000.0
Tencent Holdings,China,86200000000.0,18300000000.0,227800000000.0,472300000000.0
Mitsubishi UFJ Financial,Japan,74000000000.0,10300000000.0,2667400000000.0,117200000000.0
Comcast,United States,121900000000.0,15400000000.0,263600000000.00003,154100000000.0
Alibaba Group,China,131300000000.00002,11200000000.0,244200000000.0,200800000000.0
Sinopec,China,414900000000.0,8500000000.0,289700000000.0,106800000000.0
Volkswagen Group,Germany,348600000000.0,16300000000.0,672000000000.0,65599999999.99999
TD Bank Group,Canada,80200000000.0,8900000000.0,1430300000000.0,101500000000.0
Johnson & Johnson,United States,89700000000.0,17500000000.0,172000000000.0,372200000000.0
Taiwan Semiconductor,Taiwan,71500000000.0,27300000000.0,180900000000.0,672000000000.0
BP,United Kingdom,202800000000.0,9200000000.0,275400000000.0,104400000000.0
LVMH Moët Hennessy Louis Vuitton,France,93100000000.0,16399999999.999998,158700000000.0,423900000000.0
Reliance Industries,India,108800000000.0,8400000000.0,210500000000.0,233100000000.0
Nestlé,Switzerland,103500000000.0,12500000000.0,150400000000.0,272100000000.00003
AXA Group,France,109400000000.0,7600000000.0,684000000000.0,81600000000.0
Mercedes-Benz Group,Germany,164300000000.0,14400000000.0,288500000000.0,77100000000.0
American Express,United States,69500000000.0,8900000000.0,269300000000.0,174700000000.0
