"Country","Total_Sales","Total_Profit"
"Country","0.00","0.00"
"United States","18710327000000.00","1853570300000.00"
"Saudi Arabia","608000000000.00","142331900000.00"
"China","7908758000000.00","623578400000.00"
"Japan","4288843000000.00","287303600000.00"
"United Kingdom","2075761000000.00","182748300000.00"
"South Korea","1653200000000.00","73256600000.00"
"France","2018200000000.00","145906100000.00"
"Canada","1269700000000.00","112646700000.00"
"Hong Kong","850965000000.00","89611200000.00"
"Germany","2298900000000.00","118496000000.00"
"Switzerland","1091118000000.00","157824200000.00"
"Spain","618000000000.00","54362700000.00"
"Taiwan","760300000000.00","62775300000.00"
"India","1269007000000.00","121359800000.00"
"Brazil","669300000000.00","64372100000.00"
"Netherlands","576786000000.00","55891300000.00"
"Australia","551023000000.00","53760100000.00"
"Norway","179500000000.00","16213100000.00"
"Italy","543200000000.00","53837700000.00"
"Belgium","157200000000.00","15232700000.00"
"Singapore","201400000000.00","26884500000.00"
"Ireland","415500000000.00","53271900000.00"
"Finland","138000000000.00","11524800000.00"
"Denmark","191700000000.00","23627200000.00"
"Mexico","256600000000.00","18207800000.00"
"Qatar","48500000000.00","8558800000.00"
"United Arab Emirates","127600000000.00","35385500000.00"
"Sweden","324200000000.00","49189500000.00"
"Thailand","253300000000.00","12421100000.00"
"Austria","153000000000.00","12919700000.00"
"Indonesia","62700000000.00","16652100000.00"
"Turkey","223000000000.00","21577800000.00"
"Colombia","82800000000.00","7814700000.00"
"Poland","138000000000.00","10300000000.00"
"Bermuda","97100000000.00","14101000000.00"
"Luxembourg","116000000000.00","5084000000.00"
"Malaysia","59600000000.00","8715400000.00"
"South Africa","109800000000.00","13722000000.00"
"Kuwait","17100000000.00","3600000000.00"
"Hungary","41000000000.00","4719000000.00"
"Portugal","79700000000.00","4223900000.00"
"Czech Republic","15300000000.00","1400000000.00"
"Israel","81900000000.00","7940300000.00"
"Cayman Islands","8100000000.00","1300000000.00"
"Argentina","53300000000.00","2100000000.00"
"Philippines","59100000000.00","4921900000.00"
"Vietnam","32000000000.00","5936400000.00"
"Peru","7000000000.00","1300000000.00"
"Chile","99600000000.00","5138100000.00"
"Greece","63200000000.00","6313400000.00"
"Kazakhstan","9700000000.00","3400000000.00"
"Morocco","7100000000.00","1084000000.00"
"Croatia","10800000000.00","1152600000.00"
"Romania","2900000000.00","685800000.00"
"Egypt","4700000000.00","966700000.00"
"Jordan","2900000000.00","536000000.00"
"Nigeria","5600000000.00","1788300000.00"
"Slovenia","1600000000.00","618700000.00"
"Oman","2200000000.00","499500000.00"
"Cyprus","1500000000.00","569500000.00"
